replay,player_1,player_2,map,player_1_won
3697ea21893f4556.rep,Pineapple Cactus,Pathos,2019Season2/(2)Overwatch(n).scx,False
02ea415cfe664352.rep,CherryPiSSCAIT2017,Randomhammer,sscai/(4)Empire of the Sun.scm,False
93d958aed9c0446e.rep,Hao Pan,Venator,2019Season2/(2)Overwatch(n).scx,True
2a104bdea2f84361.rep,Flash,Polaris,2019Season2/(2)Tres Pass.scx,True
7b2e10d8197744d0.rep,Stardust,NovotHammer,sscai/(4)Fighting Spirit.scx,True
e387f8258522438a.rep,Polaris,Randomhammer,2019Season1/(3)Medusa 2.2_iCCup.scx,True
74dad42dbc0d4012.rep,Prism Cactus,Yuanheng Zhu,2019Season2/(2)Tres Pass.scx,False
bfddf62e6d934492.rep,WillyT,Zealot Hell,2019Season1/(3)Medusa 2.2_iCCup.scx,True
85cc26d4c22c4a9e.rep,Steamhammer,Brainiac,sscai/(4)Icarus.scm,False
527cfab3fbf34d03.rep,Pineapple Cactus,Hao Pan,sscai/(4)Andromeda.scx,False
e066d36d54654d3a.rep,BetaStar,Tomas Cere,2019Season1/(4)Ground_Zero_2.0_iCCup.scx,True
5be98fe1e8ec48de.rep,XIAOYICOG2019,Venator,sscai/(4)Jade.scx,True
26d208ec788d447e.rep,PurpleWave,CUBOT,sscai/(3)Tau Cross.scx,True
f9cb6e953e414cd9.rep,Dave Churchill,DaQin,sscai/(4)Empire of the Sun.scm,False
0a9c02acedea4d3b.rep,NovotHammer,Pineapple Cactus,sscai/(4)Icarus.scm,True
63a74b77dde344e0.rep,Chris Coxe,Proxy,sscai/(2)Destination.scx,True
2cb9c606792a4b32.rep,BetaStar,Proxy,2019Season2/(4)Fighting Spirit.scx,True
16d24ee40aa74882.rep,TyrProtoss,Microwave,2019Season2/(4)Gladiator1.1.scx,True
4ea7cd4e905045cf.rep,MadMixR,Locutus,2019Season2/(2)Overwatch(n).scx,True
f318b5eebf0041c6.rep,adias,PurpleWave,sscai/(4)Empire of the Sun.scm,True
13b43c2c6c7c483d.rep,tscmoo,McRaveZ,sscai/(4)Circuit Breaker.scx,False
47532a8725a341b3.rep,Velicorandom,insanitybot,2019Season1/(4)Ground_Zero_2.0_iCCup.scx,False
340db5fca4844d29.rep,NiteKatT,legacy,sscai/(4)Electric Circuit.scx,False
3f22160bc1734b94.rep,Monster,MadMixR,2019Season2/(4)Gladiator1.1.scx,True
12c593277a3d4cc3.rep,tscmoo,adias,2019Season1/(4)Ground_Zero_2.0_iCCup.scx,False
5ad4a83e7f674b5c.rep,CherryPiSSCAIT2017,Andrew Smith,sscai/(4)Icarus.scm,True
326d98ffa7aa45d2.rep,CherryPiSSCAIT2017,Lukas Moravec,sscai/(2)Heartbreak Ridge.scx,True
a6b73f148b534aa8.rep,ZurZurZur,BetaStar,2019Season2/(2)Overwatch(n).scx,False
557c61ffed0445bc.rep,Zia bot,Venator,sscai/(4)Empire of the Sun.scm,True
fee35dea47704d39.rep,Yuanheng Zhu,CUBOT,sscai/(3)Neo Moon Glaive.scx,True
f5061d94d340444b.rep,Hao Pan,Terminus,sscai/(4)Roadrunner.scx,False
32260aeb95c84054.rep,Polaris,Steamhammer,2019Season2/(3)Power Bond.scx,True
a2e5600d03e5412c.rep,BananaBrain,WillyT,sscai/(4)Empire of the Sun.scm,True
d074788b74a74bad.rep,adias,legacy,2019Season2/(4)Gladiator1.1.scx,True
8cb755cdf196442d.rep,PurpleCheese,MadMixP,2019Season2/(2)Tres Pass.scx,False
a8793d57227448f2.rep,Stardust,tscmoo,sscai/(3)Neo Moon Glaive.scx,True
38744019168249fe.rep,Steamhammer,Sijia Xu,sscai/(4)Python.scx,True
2896960d32f04056.rep,Proxy,Soeren Klett,sscai/(4)Jade.scx,True
45b2160350454c22.rep,VOID,Slater,sscai/(4)Circuit Breaker.scx,True
c1395277c26e48c4.rep,Arrakhammer,Slater,2019Season1/(4)CircuitBreakers1.0.scx,True
ca88d071001e4162.rep,adias,Pineapple Cactus,sscai/(4)Jade.scx,True
88524311eb2c4eb6.rep,Dragon,NiteKatT,sscai/(4)Python.scx,False
0262eb7ef48a42a2.rep,MisHanBot,Tomas Vajda,2019Season1/(2)Overwatch(n).scx,False
